date_de_tirage,boules_gagnantes_en_ordre_croissant,etoiles_gagnantes_en_ordre_croissant,boule_1,boule_2,boule_3,boule_4,boule_5,etoile_1,etoile_2
29/05/2020,-4-8-11-19-46-,-4-8-,4,11,8,46,19,4,8
26/05/2020,-4-9-14-21-27-,-4-6-,9,4,27,14,21,4,6
22/05/2020,-3-18-22-27-32-,-2-7-,18,22,32,3,27,2,7
19/05/2020,-5-25-32-37-43-,-6-7-,43,32,37,25,5,6,7
15/05/2020,-11-23-32-34-39-,-1-6-,34,23,32,39,11,1,6
12/05/2020,-9-16-29-37-39-,-4-11-,16,9,29,39,37,4,11
08/05/2020,-8-25-32-33-38-,-7-9-,33,38,8,25,32,9,7
05/05/2020,-2-10-22-27-41-,-2-3-,2,27,22,10,41,3,2
01/05/2020,-19-20-38-45-47-,-2-6-,47,20,19,45,38,2,6
28/04/2020,-15-23-26-28-32-,-1-5-,32,28,26,15,23,1,5
24/04/2020,-1-5-19-21-28-,-4-7-,28,5,1,21,19,7,4
21/04/2020,-10-11-14-23-28-,-6-8-,11,10,23,14,28,6,8
17/04/2020,-16-28-32-37-45-,-1-11-,37,32,45,28,16,1,11
14/04/2020,-6-29-34-35-40-,-4-11-,40,34,29,6,35,11,4
10/04/2020,-3-10-17-33-39-,-1-4-,33,17,3,39,10,1,4
07/04/2020,-4-5-14-33-48-,-7-12-,33,14,4,48,5,7,12
03/04/2020,-16-19-34-46-50-,-2-6-,50,16,34,19,46,2,6
31/03/2020,-12-17-24-30-36-,-1-9-,30,12,17,24,36,9,1
27/03/2020,-11-14-27-41-46-,-2-3-,14,41,27,46,11,3,2
24/03/2020,-7-12-26-30-33-,-10-11-,33,12,7,26,30,11,10
20/03/2020,-3-9-20-34-40-,-6-12-,40,9,20,34,3,6,12
17/03/2020,-5-7-8-16-20-,-2-12-,5,7,16,8,20,12,2
13/03/2020,-3-11-21-27-36-,-9-10-,21,3,11,36,27,10,9
10/03/2020,-11-23-30-37-43-,-5-12-,23,43,30,11,37,5,12
06/03/2020,-15-38-43-45-46-,-1-11-,15,43,38,45,46,11,1
03/03/2020,-4-14-27-44-45-,-1-10-,27,44,4,14,45,10,1
28/02/2020,-8-11-20-22-23-,-3-4-,8,11,23,20,22,4,3
25/02/2020,-1-4-18-27-42-,-4-6-,4,42,18,27,1,6,4
21/02/2020,-7-23-30-32-45-,-5-9-,32,23,30,45,7,5,9
18/02/2020,-11-32-34-38-47-,-2-10-,34,32,11,38,47,10,2
14/02/2020,-5-20-35-41-49-,-6-10-,5,35,20,41,49,10,6
11/02/2020,-24-26-32-43-46-,-6-10-,43,26,24,32,46,6,10
07/02/2020,-9-15-17-25-40-,-3-9-,17,15,9,25,40,9,3
04/02/2020,-21-23-33-35-47-,-6-7-,35,21,33,23,47,6,7
