date_de_tirage,boules_gagnantes_en_ordre_croissant,etoiles_gagnantes_en_ordre_croissant,boule_1,boule_2,boule_3,boule_4,boule_5,numero_chance_1,numero_chance_2
2018-11-16,-9-10-13-28-41-,-1-12-,9,10,28,41,13,12,1
2018-11-20,-6-19-39-45-48-,-7-12-,6,48,19,45,39,7,12
2018-11-23,-5-8-25-26-30-,-3-10-,25,30,5,26,8,3,10
2018-11-27,-4-16-17-18-32-,-2-11-,17,16,4,32,18,11,2
2018-11-30,-3-10-12-23-26-,-1-12-,3,10,26,23,12,12,1
2018-12-04,-19-20-21-42-45-,-8-9-,21,19,45,20,42,8,9
2018-12-07,-11-17-26-37-48-,-1-10-,17,11,37,48,26,1,10
2018-12-11,-4-7-13-23-42-,-1-3-,4,13,7,42,23,1,3
2018-12-14,-12-29-38-42-44-,-2-12-,29,12,38,44,42,12,2
2018-12-18,-1-9-18-39-48-,-5-7-,1,18,39,48,9,7,5
2018-12-21,-2-12-15-34-50-,-3-4-,12,2,34,50,15,4,3
2018-12-25,-4-5-8-31-43-,-2-9-,8,4,43,31,5,9,2
2018-12-28,-13-16-34-35-45-,-10-12-,34,16,35,45,13,10,12
2019-01-01,-1-8-11-25-28-,-4-6-,11,25,8,28,1,4,6
2019-01-04,-7-11-19-27-37-,-6-10-,19,7,11,37,27,10,6
2019-01-08,-3-19-22-31-32-,-2-11-,19,32,31,3,22,2,11
2019-01-11,-1-19-31-39-48-,-1-6-,19,48,31,39,1,6,1
2019-01-15,-22-25-29-33-35-,-3-6-,33,22,35,25,29,3,6
2019-01-18,-5-6-16-30-46-,-5-10-,5,16,46,6,30,5,10
2019-01-22,-9-23-29-41-49-,-8-10-,29,49,41,9,23,8,10
2019-01-25,-1-6-13-15-16-,-6-10-,15,16,13,6,1,6,10
2019-01-29,-14-24-26-32-39-,-3-8-,39,14,24,32,26,8,3
2019-02-01,-3-21-26-41-46-,-1-6-,3,41,26,46,21,6,1
2019-02-05,-14-25-31-37-43-,-2-3-,31,43,14,25,37,2,3
2019-02-08,-11-12-13-39-46-,-7-10-,46,12,13,39,11,7,10
2019-02-12,-6-34-36-41-50-,-1-5-,34,36,50,41,6,1,5
2019-02-15,-15-27-34-38-49-,-2-10-,49,38,27,34,15,2,10
2019-02-19,-1-8-18-19-39-,-7-9-,19,8,18,1,39,9,7
2019-02-22,-3-27-29-33-50-,-3-7-,50,33,29,3,27,7,3
2019-02-26,-3-15-29-35-47-,-3-4-,29,47,15,3,35,4,3
2019-03-01,-6-9-19-26-31-,-11-12-,9,19,26,31,6,12,11
2019-03-05,-6-10-16-39-46-,-8-11-,16,10,46,39,6,8,11
2019-03-08,-17-18-19-24-40-,-4-8-,40,17,24,19,18,8,4
2019-03-12,-5-7-13-19-31-,-2-9-,5,13,7,19,31,9,2
2019-03-15,-3-15-24-42-46-,-9-12-,46,24,42,15,3,12,9
2019-03-19,-1-6-9-34-47-,-7-12-,9,6,1,47,34,12,7
2019-03-22,-4-17-26-30-43-,-6-11-,17,43,26,4,30,11,6
2019-03-26,-12-19-23-43-47-,-2-6-,47,43,19,23,12,2,6
2019-03-29,-13-23-26-32-47-,-6-10-,13,23,26,47,32,6,10
2019-04-02,-2-9-16-26-36-,-6-7-,9,26,16,2,36,6,7
2019-04-05,-1-7-10-29-45-,-3-5-,7,45,10,1,29,5,3
